unit,segment,start_ms,harmonic,frequency_start_hz,frequency_end_hz,amplitude_start,amplitude_end,phase_rad,role
ㄱㅏ,vowel_body,87.977,6,2640.0,2640.0,0.08983683,0.08983683,4.55356191,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,7,3080.0,3080.0,0.07977803,0.07977803,2.93739922,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,8,3520.0,3520.0,0.19271122,0.19271122,4.22452099,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,9,3960.0,3960.0,0.46815301,0.46815301,1.2343807,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,10,4400.0,4400.0,0.26591289,0.26591289,1.85222999,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,11,4840.0,4840.0,0.06556935,0.06556935,2.60590221,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,12,5280.0,5280.0,0.04347567,0.04347567,5.82778298,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,13,5720.0,5720.0,0.03521809,0.03521809,5.12731965,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,14,6160.0,6160.0,0.03326782,0.03326782,2.25722962,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,15,6600.0,6600.0,0.02843927,0.02843927,5.29571291,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,16,7040.0,7040.0,0.02754598,0.02754598,2.23801929,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,17,7480.0,7480.0,0.02036951,0.02036951,3.05543435,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,18,7920.0,7920.0,0.01889991,0.01889991,0.21206471,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,19,8360.0,8360.0,0.01723632,0.01723632,3.60591931,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,20,8800.0,8800.0,0.0163432,0.0163432,0.72581012,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,21,9240.0,9240.0,0.01322522,0.01322522,4.98311253,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,22,9680.0,9680.0,0.01201622,0.01201622,0.63842873,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,23,10120.0,10120.0,0.0101919,0.0101919,0.78649398,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,24,10560.0,10560.0,0.00975678,0.00975678,0.57683091,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,25,11000.0,11000.0,0.00596416,0.00596416,2.17783104,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,26,11440.0,11440.0,0.00544721,0.00544721,3.1510437,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,27,11880.0,11880.0,0.00453755,0.00453755,5.53118509,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,28,12320.0,12320.0,0.00403313,0.00403313,0.12987213,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,29,12760.0,12760.0,0.00336105,0.00336105,1.37628429,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,30,13200.0,13200.0,0.00308644,0.00308644,2.9880778,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,31,13640.0,13640.0,0.00282454,0.00282454,1.92683455,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,32,14080.0,14080.0,0.00253188,0.00253188,4.62312333,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,33,14520.0,14520.0,0.00221922,0.00221922,0.86665878,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,34,14960.0,14960.0,0.00190988,0.00190988,2.43432911,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,35,15400.0,15400.0,0.00169016,0.00169016,6.20697778,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,36,15840.0,15840.0,0.00157335,0.00157335,4.02241272,clear_assertive_harmonic
ㄱㅏ,vowel_body,87.977,F1,980,980,0.058,0.058,1.89739775,clarity_formant_anchor
ㄱㅏ,vowel_body,87.977,F2,1900,1900,0.049,0.049,5.84923935,clarity_formant_anchor
ㄱㅏ,vowel_body,87.977,F3,4050,4050,0.031,0.031,5.74504792,clarity_formant_anchor
ㄱㅐ,voicing_onset,40.0,1,440.0,440.0,0.67999649,0.14220842,4.87524919,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,2,880.0,880.0,0.22222403,0.9111713,3.70729336,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,3,1320.0,1320.0,0.11013604,0.11630534,0.45014493,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,4,1760.0,1760.0,0.1554447,0.10370802,2.28483507,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,5,2200.0,2200.0,0.83316601,0.12168128,5.93799395,clear_assertive_harmonic
ㄱㅐ,voicing_onset,40.0,6,2640.0,2640.0,0.48695291,0.65583848,2.78959136,clear_assertive_harmonic
