alias,syllable,onset,vowel,variant,file,duration_s,peak,rms,crest_db,zero_crossing_rate,spectral_centroid_hz,energy_ratio_above_4khz
ㄴㅞ,눼,ㄴ,ㅞ,clean,detailed_voicebank\03_all_399_clean_female\ㄴ\눼.wav,0.40800454,0.85995483,0.3090286,8.88953942,0.08748333,2511.97953168,0.15801531
ㄴㅞ,눼,ㄴ,ㅞ,soft,detailed_voicebank\04_all_399_soft_female\ㄴ\눼.wav,0.40800454,0.86202032,0.3559466,7.68265309,0.0869831,2543.1850214,0.16334636
ㄴㅟ,뉘,ㄴ,ㅟ,clean,detailed_voicebank\03_all_399_clean_female\ㄴ\뉘.wav,0.40800454,0.85995483,0.340677,8.04265643,0.08314807,2512.56675046,0.17926377
ㄴㅟ,뉘,ㄴ,ㅟ,soft,detailed_voicebank\04_all_399_soft_female\ㄴ\뉘.wav,0.40800454,0.86378941,0.38967862,6.91402597,0.0819253,2532.80747763,0.18463663
ㄴㅠ,뉴,ㄴ,ㅠ,clean,detailed_voicebank\03_all_399_clean_female\ㄴ\뉴.wav,0.40800454,0.85995483,0.31655311,8.68058121,0.10093375,2849.69660541,0.24415646
ㄴㅠ,뉴,ㄴ,ㅠ,soft,detailed_voicebank\04_all_399_soft_female\ㄴ\뉴.wav,0.40800454,0.85927264,0.36613251,7.40985384,0.09976656,2851.1719902,0.24153669
ㄴㅡ,느,ㄴ,ㅡ,clean,detailed_voicebank\03_all_399_clean_female\ㄴ\느.wav,0.40800454,0.85995483,0.31307809,8.77645927,0.0951534,2674.26432345,0.19170885
ㄴㅡ,느,ㄴ,ㅡ,soft,detailed_voicebank\04_all_399_soft_female\ㄴ\느.wav,0.40800454,0.86412186,0.35568289,7.71024033,0.09248555,2667.9295137,0.19541333
ㄴㅢ,늬,ㄴ,ㅢ,clean,detailed_voicebank\03_all_399_clean_female\ㄴ\늬.wav,0.40800454,0.85995483,0.31171282,8.81441943,0.10593597,2893.04633942,0.22766281
ㄴㅢ,늬,ㄴ,ㅢ,soft,detailed_voicebank\04_all_399_soft_female\ㄴ\늬.wav,0.40800454,0.86346019,0.35858138,7.63309175,0.10471321,2896.9689217,0.22914253
ㄴㅣ,니,ㄴ,ㅣ,clean,detailed_voicebank\03_all_399_clean_female\ㄴ\니.wav,0.40800454,0.85995483,0.30735762,8.93663312,0.11171632,3227.01400538,0.31237706
ㄴㅣ,니,ㄴ,ㅣ,soft,detailed_voicebank\04_all_399_soft_female\ㄴ\니.wav,0.40800454,0.86558613,0.35248128,7.80348479,0.11010449,3307.60789832,0.31461717
ㄷㅏ,다,ㄷ,ㅏ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\다.wav,0.41798186,0.85995483,0.31900379,8.61359598,0.08203125,2819.59460147,0.190352
ㄷㅏ,다,ㄷ,ㅏ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\다.wav,0.41798186,0.86308929,0.36717257,7.42371005,0.08859592,2807.10331787,0.18713608
ㄷㅐ,대,ㄷ,ㅐ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\대.wav,0.41798186,0.85995483,0.30112135,9.11468199,0.11664497,3013.88216898,0.22111823
ㄷㅐ,대,ㄷ,ㅐ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\대.wav,0.41798186,0.86625322,0.34301365,8.04666925,0.12190755,3069.08005234,0.22582991
ㄷㅑ,댜,ㄷ,ㅑ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\댜.wav,0.41798186,0.85995483,0.25658134,10.50501147,0.1078559,3036.09861541,0.24817794
ㄷㅑ,댜,ㄷ,ㅑ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\댜.wav,0.41798186,0.8568675,0.30250366,9.04366079,0.11458333,3059.01257753,0.24618128
ㄷㅒ,댸,ㄷ,ㅒ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\댸.wav,0.41798186,0.85995483,0.24052451,11.06632623,0.11914062,3152.61288663,0.26661713
ㄷㅒ,댸,ㄷ,ㅒ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\댸.wav,0.41798186,0.86368611,0.28465599,9.64071228,0.12451172,3160.8215449,0.26715822
ㄷㅓ,더,ㄷ,ㅓ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\더.wav,0.41798186,0.85995483,0.25370757,10.60284431,0.09722222,2669.66410036,0.1441155
ㄷㅓ,더,ㄷ,ㅓ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\더.wav,0.41798186,0.8615211,0.29417663,9.33315494,0.10427517,2609.2440143,0.12901538
ㄷㅔ,데,ㄷ,ㅔ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\데.wav,0.41798186,0.85995483,0.27123911,10.02246657,0.13758681,3116.94255784,0.27858039
ㄷㅔ,데,ㄷ,ㅔ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\데.wav,0.41798186,0.86055125,0.31771125,8.65488298,0.14398872,3103.96986302,0.27151259
ㄷㅕ,뎌,ㄷ,ㅕ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\뎌.wav,0.41798186,0.85995483,0.26274102,10.29895521,0.12011719,3061.3709245,0.26739327
ㄷㅕ,뎌,ㄷ,ㅕ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\뎌.wav,0.41798186,0.85916391,0.30501256,8.99516596,0.12565104,3132.45868888,0.27574982
ㄷㅖ,뎨,ㄷ,ㅖ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\뎨.wav,0.41798186,0.85995483,0.23161027,11.39435677,0.12695312,3274.57263817,0.29292591
ㄷㅖ,뎨,ㄷ,ㅖ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\뎨.wav,0.41798186,0.86149392,0.27197031,10.01461445,0.13330078,3274.0863503,0.28812209
ㄷㅗ,도,ㄷ,ㅗ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\도.wav,0.41798186,0.85995483,0.27645475,9.85703182,0.10340712,2369.55400767,0.13437078
ㄷㅗ,도,ㄷ,ㅗ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\도.wav,0.41798186,0.86284493,0.32306706,8.53280129,0.10736762,2326.64800497,0.1304317
ㄷㅘ,돠,ㄷ,ㅘ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\돠.wav,0.41798186,0.85995483,0.24256133,10.99308158,0.09743924,2391.14710938,0.13071952
ㄷㅘ,돠,ㄷ,ㅘ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\돠.wav,0.41798186,0.86572833,0.28693543,9.59194921,0.1022678,2373.12448698,0.12861437
ㄷㅙ,돼,ㄷ,ㅙ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\돼.wav,0.41798186,0.85995483,0.22782534,11.53747216,0.09375,2469.1856739,0.15831645
ㄷㅙ,돼,ㄷ,ㅙ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\돼.wav,0.41798186,0.86245697,0.26684363,10.18961188,0.09950087,2444.65013626,0.15812675
ㄷㅚ,되,ㄷ,ㅚ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\되.wav,0.41798186,0.85995483,0.28351699,9.63793091,0.10883247,2510.97465585,0.18462372
ㄷㅚ,되,ㄷ,ㅚ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\되.wav,0.41798186,0.86230097,0.33219705,8.28526213,0.11490885,2530.65816612,0.18727075
ㄷㅛ,됴,ㄷ,ㅛ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\됴.wav,0.41798186,0.85995483,0.27474906,9.91078849,0.10134549,2944.23011022,0.2614686
ㄷㅛ,됴,ㄷ,ㅛ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\됴.wav,0.41798186,0.85995116,0.31606436,8.69396525,0.10682509,2979.77040469,0.26045293
ㄷㅜ,두,ㄷ,ㅜ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\두.wav,0.41798186,0.85995483,0.33610683,8.15996596,0.08170573,2218.88676016,0.11571654
ㄷㅜ,두,ㄷ,ㅜ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\두.wav,0.41798186,0.86319628,0.3807998,7.10825699,0.08832465,2182.86251199,0.11381407
ㄷㅝ,둬,ㄷ,ㅝ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\둬.wav,0.41798186,0.85995483,0.31066305,8.84372094,0.09092882,2312.13404426,0.11365396
ㄷㅝ,둬,ㄷ,ㅝ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\둬.wav,0.41798186,0.86439363,0.35371412,7.76118331,0.09733073,2352.93688504,0.12814948
ㄷㅞ,뒈,ㄷ,ㅞ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\뒈.wav,0.41798186,0.85995483,0.24812323,10.79616424,0.0984158,2371.04155418,0.14755831
ㄷㅞ,뒈,ㄷ,ㅞ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\뒈.wav,0.41798186,0.86242364,0.29223097,9.39988823,0.10443793,2359.30471684,0.1498457
ㄷㅟ,뒤,ㄷ,ㅟ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\뒤.wav,0.41798186,0.85995483,0.31120149,8.8286796,0.08105469,2567.34517311,0.17258216
ㄷㅟ,뒤,ㄷ,ㅟ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\뒤.wav,0.41798186,0.86330239,0.36042959,7.58685001,0.08658854,2569.70230338,0.17408648
ㄷㅠ,듀,ㄷ,ㅠ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\듀.wav,0.41798186,0.85995483,0.21224941,12.1525831,0.10655382,3083.29028464,0.28269768
ㄷㅠ,듀,ㄷ,ㅠ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\듀.wav,0.41798186,0.86012313,0.25216197,10.65762064,0.11176215,3081.23764894,0.27796507
ㄷㅡ,드,ㄷ,ㅡ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\드.wav,0.41798186,0.85995483,0.26681227,10.16539692,0.08463542,2666.66977888,0.18245016
ㄷㅡ,드,ㄷ,ㅡ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\드.wav,0.41798186,0.86020149,0.31015926,8.86030862,0.09174262,2653.16069246,0.18096128
ㄷㅢ,듸,ㄷ,ㅢ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\듸.wav,0.41798186,0.85995483,0.31647661,8.68268057,0.09277344,2830.16923356,0.21370394
ㄷㅢ,듸,ㄷ,ㅢ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\듸.wav,0.41798186,0.86290369,0.36095116,7.57027769,0.09933811,2902.58991341,0.22409012
ㄷㅣ,디,ㄷ,ㅣ,clean,detailed_voicebank\03_all_399_clean_female\ㄷ\디.wav,0.41798186,0.85995483,0.30464475,9.01363874,0.10188802,3146.17881703,0.29586114
ㄷㅣ,디,ㄷ,ㅣ,soft,detailed_voicebank\04_all_399_soft_female\ㄷ\디.wav,0.41798186,0.8627341,0.35601374,7.68820418,0.10850694,3171.15761246,0.29560399
ㄸㅏ,따,ㄸ,ㅏ,clean,detailed_voicebank\03_all_399_clean_female\ㄸ\따.wav,0.41,0.85995483,0.25960232,10.40334149,0.08882743,2770.0469025,0.18129084
